Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
8,"CP7 - The BBQ Heaven","Shop 2, DK Heights, Pashan Sutarwadi Link Road, Baner, Pune",700,"3.9"
9,"Mr Rabbit's Bar & Burrow","Shop 1, Siddh Icon, Opposite Royal Enfield Showroom, Baner, Pune",1400,"4.6"
10,"FatCook","Opposite Aditya Shagun Society, Baner-Balewadi Road, Baner, Pune",800,"4.1"
11,"Faasos","Shop 182, Near Baner Nagri Bank, Baner, Pune",600,"4.0"
12,"Domino's Pizza","102 & 103, Ground Floor, Sapphire Chamber, Baner, Pune",700,"2.8"
13,"Area 51","Pancard Clubs, Baner Hills, Baner, Pune",1800,"3.7"
14,"Post 91 - Infinity Rooftop Restaurant","Level 9, Icon Tower, Baner, Pune",1200,"3.9"
15,"Kaar-O-Bar","4/5th Floor, Kaarobar Sai Heritage Building, Opposite Orchid School, Baner, Pune",1700,"4.1"
16,"Wadeshwar","Survey 2/9, 2/5 Main Road, Purushottam Plaza, Baner Road, Baner, Pune",600,"3.9"
17,"Amrita Pure Veg","123/3, Prabhavi Tech Park, Baner, Pune",600,"3.9"
18,"Idlicious","Cosmos Garden, Plot 16 and 17, P K Shroff Marg, Pancard Clubs Road, Baner, Pune",250,"4.2"
19,"The Asian Box Resto Bar","LG 1, Siddh Icon Building, Opposite Furniture Mall, Baner-Road, Baner, Pune",1200,"4.3"
0,"Desi Aroma","Shop 10/11, Aditi Mall, Baner Road, Baner, Pune",850,"4.1"
1,"Thikana","1st Floor, Deron Heights, Above Ranka Jewellers, Baner, Pune",1300,"4.1"
2,"Dadu's Sweet Emporio","Shop 3, Deron Heights, Baner, Pune",300,"4.1"
3,"Tsaai Sshen Yeh","Shop 3, Echelon Building, Baner-Sus Link Road, Baner, Pune",850,"4.1"
4,"BOX8- Desi Meals","Shop 915, Rajhans Building, Near Mane Jewellers, Baner, Pune",500,"4.1"
5,"FatCook","Opposite Aditya Shagun Society, Baner-Balewadi Road, Baner, Pune",800,"4.1"
6,"Kaar-O-Bar","4/5th Floor, Kaarobar Sai Heritage Building, Opposite Orchid School, Baner, Pune",1700,"4.1"
7,"Nawab Asia","Unit 5/6/7/8, Groundfloor, Cummin India Office Complex, Balewadi High Street, Baner, Pune",1300,"4.1"
8,"Kinki","Shop 5, Balewadi High Street, Cummins India Office Campus, Baner-Balewadi Link Road, Baner, Pune",1500,"4.1"
9,"Arthur's Theme","25, Balewadi High Street, Baner-Balewadi Link Road, Baner, Pune",1300,"4.1"
10,"Oh So Stoned","Shop 2, My World, Near Balevadi High Street, Baner, Pune",400,"4.1"
11,"Terttulia Bistro","Shop 2, Balewadi High Street, Panchshil Business Park, Balewadi-Baner Link Road, Baner, Pune",1700,"4.1"
12,"Frozen Bottle","Survey 1, Revati Arcade, Opposite K Factory, Baner, Pune",400,"4.1"
13,"The Flour Works","Plot - 5, Baner-Mahalunge Road, Behind ICICI Bank, Baner",1300,"4.1"
14,"Gourmand HogHouse","Shop 4, Achelon Society, Opposite Regent Plaza, Baner-Pashan Link Road, Baner, Pune",700,"4.1"
15,"Camios Bistro","Shop 3, Capital Building, Baner Pashan Link Road, Baner, Pune",600,"4.1"
16,"Burgertron","Gate 1, Siemens, Balevadi High Street, Baner, Pune",400,"4.1"
17,"Cafe Bake N Bean's","Shop 114/1/1/8, Hotel Imperio, Near ICICI ATM, Baner, Pune",800,"4.1"
18,"The Curious Restro Lounge","Survey 44/2/1, Vishwaguru Showroom 1, Highway Near Audi Showroom, Service Road, Baner, Pune",900,"4.1"
19,"Thikana","1995, Sushila ApartmentNear, Ghole Road, FC Road, Pune",1300,"4.1"
0,"Gourmand Food Truck","Near Spires Society, Vidhate Chowk, Aundh-Baner Link Road, Aundh, Pune",350,"4.3"
1,"L'dorado","New Aundh Baner Link Road, Near Medipoint Hospital, Aundh, Pune.",500,"4.3"
2,"Independence Brewing Company","Shop 14/15, S 19, Park Grandeur, Opposite Balewadi High Street, Balewadi, Pune",1600,"4.3"
3,"Mainland China","Hotel Shree Nanda Excellency, ITI Road, Aundh, Pune",1500,"4.3"
4,"Upsouth","Ward 8, Opposite Corporation Bank, Mahadji Shinde Road, Aundh Gaon, Aundh, Pune",400,"4.3"
5,"Abejo","Ground Floor, Unit 6 & 7, PubTown, Creaticity, Opposite Golf Course, Airport Road, Yerawada, Pune",1000,"4.3"
6,"Effingut Brewerkz","World Trade Center, Kharadi, Pune",1700,"4.3"
7,"The Ruby Hilltop - Sunny's World","Sunny&#39;s World, 217, Pashan-Sus Road, Sus Gaon, Sus, Pune",1400,"4.3"
8,"Myfroyoland","LG 2, Power Point Building, Lane 6, Koregaon Park, Pune",400,"4.3"
9,"The Bar Stock Exchange","1st Floor, Elite Transbay, Opposite SKP Campus, Balewadi, Pune",1400,"4.3"
10,"Basilia Pizzas","Shop 4, Shubham Heights, Near Maxcare Hospital, Off Swaraj Garden, Pimple Saudagar, Pune",600,"4.3"
11,"Bar Stories","2nd Floor, CityONE Mall, Opposite Empire Estate, Pune-Mumbai Highway, Pimpri, Pune",1300,"4.3"
12,"Bombay Sandwich & Pizza","Opposite Anil Photo Studio, JN Road, Pimpri, Pune",350,"4.3"
13,"Teddy Boy","10th Floor, Deron Heights, Above Ranka Jewellers, Baner, Pune",1200,"4.2"
14,"The K Factory","Ground Floor, IQS Tower, Opposite Kapil Malhar Building, Baner, Pune",1000,"4.2"
15,"Cream Stone","Shop 4-6, Ground Floor, Bhagyashree Building, Opposite Ivory Estate, Baner Road, Baner, Pune",400,"4.2"
16,"Maratha Samrat","MontVert Zenith Building, Opposite Kundan Garden, Beside Veritas IT Park, Baner, Pune",1100,"4.2"
17,"Urbo","Swati Park, Veerbhadra Nagar, Baner, Pune",1700,"4.2"
18,"Highland","301, Above Planet Fashion Showroom, Vasukamal, Balewadi Chowk, Baner, Pune",1500,"4.2"
19,"Idlicious","Cosmos Garden, Plot 16 and 17, P K Shroff Marg, Pancard Clubs Road, Baner, Pune",250,"4.2"
