Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
"Nitin's Canteen","All India Shri Shivaji Memorial Society, Near Shivajinagar Court, Opposite Pasalkar Gas Agency, Shivaji Nagar, Pune",150,"3.7"
"Hotel Varanda","Shop 6, Shree Rang House, Opposite Bharat Petrol Pump, Shivaji Nagar, Pune",400,"3.3"
"The Big O Pizza","Shop 35A And B, Ground Floor, Deccan Tower, Solapur Road, Shivaji Nagar, Pune",500,"3.2"
"Hotel Swagat","Opposite ST Bus Stop",400,"3.7"
"Hotel Samrat","Opposite Bharat Petroleum Petrol Pump, Bombay Road, Wakadewadi, Shivaji Nagar, Pune",500,"3.6"
"Rohit Wadewale","Opposite ST Stand, Shivaji Nagar, Pune",200,"3.5"
"Namaskaar Resto Bar","1202/6, Opposite Ghole Road, PMC Ward office, Shivaji Nagar, Pune",900,"3.7"
"British Brewing Company","The Pavilion, Shivajinagar, Senapati Bapat Road, Pune",1600,"3.7"
"CAD (M) CAD(B)","364/365, Near Bank Of Maharashtra, Shivaji Nagar, Pune",250,"3.6"
"Ganesh Bhel","Ganesh Bhel, Opposite Fergusson College main gate, F.C Road, Shivajinagar, Pune",550,"3.6"
"Laddro Cafe","Shop 2, Vrundavinam Society, 1094 Deep Bunglow Chowk, Model Colony, Near DSK Showroom, Shivaji Nagar, Pune",400,"3.5"
"Baggu's Dosa House","Shop 3, Sulaxmi Chamber, Dnyaneshwar Paduka Chowk, Shivaji Nagar, Pune",200,"3.5"
"Tea Post","JM Road, Near Aurelia 1/2 3, Ground Floor, Lokmat Bhavan, Shivaji Nagar, Pune",300,"3.4"
"WS Bakers","Shop No-5, Mantri Co-Op, Hsg Soc, Narveer Tanaji, Near Sakhar Sankul, Narveer Tanaji Wadi, Pune",200,"3.4"
"Cafe Lucky","110/17, Shivaji Nagar, Pune",250,"3.3"
"Hotel Sagar","Shop 7, Opposite S.T. Stand, Shivaji Nagar, Pune",500,"3.3"
"Hotel Trupti","Ground Floor, Park Lodge Building, Opposite ST Stand, Shivaji Nagar, Pune",400,"3.3"
"Cafe Park","Ground Floor, Park Lodge Building, Opposite ST Stand",250,"2.8"
"Cafe Bollywood","Pune Central Mall, Ganeshkhind Road, Shivaji Nagar, Pune",250,"2.7"
"Masoli","Near Bhave Gas Agency, Apte Road, Shivaji Nagar, Pune",700,0
"Spices And Chillies","444, Maankar Building, Shivajinagar Gaonthan, Shivaji Nagar, Pune",400,0
"Shreenath Bhel And Sandwich Corner","Dhanyaneshwar Paduka Chowk, FC College Road, Shivaji Nagar, Pune",150,0
"Laddro Cafe","Shop 2, Vrundavinam Society, 1094 Deep Bunglow Chowk, Model Colony, Near DSK Showroom, Shivaji Nagar, Pune",400,"3.5"
"Hotel Trupti","Ground Floor, Park Lodge Building, Opposite ST Stand, Shivaji Nagar, Pune",400,"3.3"
"Spices And Chillies","444, Maankar Building, Shivajinagar Gaonthan, Shivaji Nagar, Pune",400,0
"Jagdamba Biryani House","Geetanjali Apartment, KB Joshi Path, Narveer Tanaji Wadi, Shivajinagar, Pune",400,0
"Hotel Hindavi Swaraj","404/B, Shivaji Nagar, Pune",400,0
"Cafe Spicy Sugar","Shop 1, Ground Floor, Kunal Complex, Near Lenskart, Jangali Maharaj Road, Shivaji Nagar, Pune",400,0
"Swara Family Restaurant","Opposite To Bal Gangadar Mandir, Shivaji Nagar, Pune",600,"3.2"
"Chination","3rd Floor Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",600,0
"Navab's","3rd Floor, Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",600,0
"Ganesh Bhel","Ganesh Bhel, Opposite Fergusson College main gate, F.C Road, Shivajinagar, Pune",550,"3.6"
"Nation 52 Kitchens","Pilachi Wadi, Shivaji Nagar, Behind Sai Petra, Shivaji Nagar, Pune",550,0
"Sethi's","3rd Floor, Chinar Heights, Deep Bungalow Chowk, Model Colony Shivaji Nagar, Pune",550,0
"Hotel Sandeep","Railway Station Road, Opposite ST Stand, Narveer Tanaji Wadi, Shivaji Nagar, Pune",500,"3.1"
"Hotel Satkar","ST Stand, Shivaji Nagar, Pune",500,"3.2"
"Hotel Sagar","Shop 7, Opposite S.T. Stand, Shivaji Nagar, Pune",500,"3.3"
"Swara Family Restaurant","Opposite To Bal Gangadar Mandir, Shivaji Nagar, Pune",600,"3.2"
"Chination","3rd Floor Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",600,0
"Navab's","3rd Floor, Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",600,0
