Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
17,"Leafy Trails","21/1, Ushakal Bungalow, Swapna Mandir Society, Opposite New Karnatak High School, Bamboo Lane, Erandwane, Pune",400,"3.7"
18,"Cafe MetroMix","39/27, Shailaja Smriti Ground Floor, Lane 9, Prabhat road, Erandwane, Pune",750,"3.7"
19,"Sai Chaya Misal House","Shop 1, Surya Tower, Erandwane, Pune",150,"3.7"
0,"Hotel Maratheshahi","Kalubai Mandir, Hingne Mala, Sasane Nagar, Hadapsar, Pune",600,"3.7"
1,"Sweekar Veg Restaurant","6/6, Chinoli Apartments, Karve Road, Erandwane, Pune",550,"3.7"
2,"Pavitra","18 A, Near New Karnataka High School, Ganeshnagar, Erandwane, Pune",550,"3.2"
3,"Divine Dish","Shop 10, Bharat Vihar Society, Opposite Karnatak High School, Erandwane, Pune",550,"3.5"
4,"Siddhi Veg - Non Veg","Shop 3, Mangesh Park Society, Behind New Karnatak High School, Erandwane, Pune",550,"3.7"
5,"Surya","5 A/3, Laxminarayan Nagar, Patwardhan Baug, Erandwane, Pune",550,"3.4"
6,"Shree Krishna Veg Non Veg","Shop Number 5&6, Sharda Apartment, Inside Sharda Center, Erandwane, Pune",550,"3.2"
7,"McDonald's","Pune Central Mall, Near Garware College, Erandwane, Pune",500,"3.4"
8,"Cafe Windchamps","Shop 2, Akhil Cooperative Society, Near Kedar Empire Karve Road, Erandwane, Pune",500,"3.4"
9,"Hotel Naaz Veg Non Veg","Survey 31/1, Amrut Building, Karve Road, Erandwane, Pune",500,"3.3"
10,"103- Shanghai Express","Epicenter, 83/12-A, Law College Road, Erandwane, Pune",500,"3.2"
11,"Konkan Kitchen","Raja Mantri Road, Vakil Nagar, Erandwane, Pune, Pune",500,"3.1"
12,"Pizzitos","C-Wing, Shrinwas Villa, Near CDSS, Erandwane, Pune",500,"3.1"
13,"Hotel Tanjavar","Near Sahyadri Hospital, Opposite Garware College, Karve Road, Erandwane, Pune",500,"3.2"
14,"Nimish Seafoods","143, Dattawadi, Near Mhatre Bridge, Bal Shivaji Chawk, Erandwane, Pune",500,0
15,"Healthy Tadka","DTC, Reliance Mall, Erandwane, Pune",481,"3.7"
16,"Hrishikesh Seafoods","Shop 143, Dattawadi, Mhatre Bridge Corner, Erandwane, Pune",450,"3.9"
17,"Aarya Biryani House","Survey 220/8, Ganesh Nagar, Near Dinanath Mangeshkar Hospital, Erandwane, Pune",450,"3.0"
18,"Cafe U n Me","Shop 6, City Center, Opposite Ayurvedic Ras-shala, Near Garware College, Karve Road, Erandwane, Pune",450,0
19,"Pathan Laziz Biryani House","Kajale Heights Complex, Next to Kirti Hardware Store, Near Dashbhuja Ganpati, Paud Phata, Erandwane, Pune",400,"3.6"
0,"SA Cremee","Shop 1, Kamla Park Society, Beside Bank Of Baroda, Behind Hotel Pavitra, Erandwane, Pune",150,"3.7"
1,"Healthy Tadka","DTC, Reliance Mall, Erandwane, Pune",481,"3.7"
2,"Rhythm Cafe","Shop 5, Kondana Building, Patwardhanbaug Society, Erandwane, Pune",200,"3.7"
3,"Siddhi Veg - Non Veg","Shop 3, Mangesh Park Society, Behind New Karnatak High School, Erandwane, Pune",550,"3.7"
4,"Cafe Connect","Shop 11, Building D, Archana Nagar Society, Erandwane, Pune",200,"3.7"
5,"Hotel Maratheshahi","Kalubai Mandir, Hingne Mala, Sasane Nagar, Hadapsar, Pune",600,"3.7"
6,"Chinese Room Oriental","4/5, Continental Chambers, Karve Road, Erandwane, Pune",1200,"3.6"
7,"Pathan Laziz Biryani House","Kajale Heights Complex, Next to Kirti Hardware Store, Near Dashbhuja Ganpati, Paud Phata, Erandwane, Pune",400,"3.6"
8,"K. Lounge","15 A, Patil Arcade, Off Karve Road, Erandwane, Pune",1000,"3.6"
9,"Nevale Missal","Nal Stop, Beside Kalyan Jewellers, Erandwane, Pune",200,"3.6"
10,"Joshi Sweets","Shop 1, Kamla Park Society, Next To Bank Of Baroda, Erandwane, Pune",300,"3.6"
11,"Nutri Toss","Near Nal Stop, Opposite Nisarg Hotel Padale Palace, Erendwane, Pune",300,"3.6"
12,"Vaze Bandhu","Shop 3, Opposite Minal Garden, Near Deenanath Mangeshkar Hospital, Erandwane, Pune",100,"3.6"
13,"Harvest Club","7/2, Siddhi Garden, DP Road, Near Mhatre Bridge, Erandwane, Pune",900,"3.5"
14,"Woodlands Restaurant and Bar","17/2 Venkateshwara House, Near Sharda Center, Erandwane, Pune",1200,"3.5"
15,"Amruteshwar","Apex Colony, Warje Malwadi Road, Abhinav Chowk, Nal Stop, Erandwane, Pune",300,"3.5"
16,"Knight Hunger","Opposit Shyadri hospital, Karve Road, Erandwane, Pune",200,"3.5"
17,"Divine Dish","Shop 10, Bharat Vihar Society, Opposite Karnatak High School, Erandwane, Pune",550,"3.5"
18,"Mr Fries & Mrs Maggie","The Food Atm, 4th Floor, GoodWill House, Opposite Padale Palace, Erandwane, Pune",250,"3.5"
19,"Woods Villa Family Restaurant","Survey 45/1, 2B 100ft D.P. Road, Next to Gharkul Lawns, Near Mhatre Bridge, Erandwane",800,"3.5"
0,"Joshi Sweets","Shop 1, Kamla Park Society, Next To Bank Of Baroda, Erandwane, Pune",300,"3.6"
1,"Grill n Chill","8, Patil Arcade, Near Hotel Kalinga, Erandwane, Pune",300,"3.3"
2,"Nutri Toss","Near Nal Stop, Opposite Nisarg Hotel Padale Palace, Erendwane, Pune",300,"3.6"
3,"Kafeneio","Behind Kirti Hardware, Near Dashbhuja Ganpati, Paud Phata, Erandwane, Pune",300,"3.3"
4,"Cafe Crush","Darekar Height, Karve Road, Opposite Garware College, Erandwane, Pune",300,"3.4"
5,"Aachari Fish","42, Paud Phata, Beside Dashbhuja Ganpati, Karve Road, Erandwane, Pune",300,"3.2"
6,"Betel Leaf Cafe","Shop 6, Meenal Arcade, Nalstop Signal, Erandwane, Pune",300,0
7,"24 Carat Ice Cream World","Opposite Padale Palace, Nalstop, Erandwane, Pune",300,0
8,"Samarth Biryanis","Survey 88/97, Near Alankar Police Chowki, Ganesh Nagar, Erandwane, Pune",300,0
9,"Nomnom Bakes","Near Dashbhuja Ganpati, next to Fresh off the boat, Erandwane, Karve road,Pune",300,0
10,"Poona Foods","Parajakatali Building, Near Jain Mandir, Nal Stop, Erandwane, Pune, Pune",300,0
